"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","416","ID verification","Getlinked-Candidates","Sun Jan 19 12:15:56 GMT 2025","passed","Sun Jan 19 12:15:57 GMT 2025","Take Assessment > ID Verification","Assessment","",""
"","92","submitFeedback-invalidEmail","Getlinked-Candidates","Sun Jan 19 12:16:00 GMT 2025","passed","Sun Jan 19 12:16:00 GMT 2025","Feedback","Interview","",""
"","119","mark interview as started-No Auth","Getlinked-Candidates","Sun Jan 19 12:15:59 GMT 2025","passed","Sun Jan 19 12:15:59 GMT 2025","Mark interview as started","Interview","",""
"","140","candidate answer","Getlinked-Candidates","Sun Jan 19 12:15:57 GMT 2025","passed","Sun Jan 19 12:15:57 GMT 2025","Take Assessment > CandidateAnswer","Assessment","",""
"","228","ninVerification","Getlinked-Candidates","Sun Jan 19 12:16:01 GMT 2025","passed","Sun Jan 19 12:16:02 GMT 2025","update proctoring report","Proctoring","",""
"","119","ID verification-Empty fields","Getlinked-Candidates","Sun Jan 19 12:15:57 GMT 2025","passed","Sun Jan 19 12:15:57 GMT 2025","Take Assessment > ID Verification","Assessment","",""
"","123","submitFeedback","Getlinked-Candidates","Sun Jan 19 12:16:00 GMT 2025","passed","Sun Jan 19 12:16:00 GMT 2025","Feedback","Interview","",""
"","123","ID verification","Getlinked-Candidates","Sun Jan 19 12:15:58 GMT 2025","passed","Sun Jan 19 12:15:58 GMT 2025","ID Verification","Interview","",""
"","97","submitFeedback-emptyFields","Getlinked-Candidates","Sun Jan 19 12:16:00 GMT 2025","passed","Sun Jan 19 12:16:00 GMT 2025","Feedback","Interview","",""
"","123","mark interview as started-Invalid interview invite ID","Getlinked-Candidates","Sun Jan 19 12:15:59 GMT 2025","passed","Sun Jan 19 12:15:59 GMT 2025","Mark interview as started","Interview","",""
"","112","verify interview candidate-Invalid Token","Getlinked-Candidates","Sun Jan 19 12:15:58 GMT 2025","passed","Sun Jan 19 12:15:58 GMT 2025","Verify interview candidate","Interview","",""
"","149","verify candidate","Getlinked-Candidates","Sun Jan 19 12:15:56 GMT 2025","passed","Sun Jan 19 12:15:56 GMT 2025","Take Assessment > VerifyCandidate","Assessment","",""
"","115","accept interview invitation","Getlinked-Candidates","Sun Jan 19 12:15:57 GMT 2025","passed","Sun Jan 19 12:15:58 GMT 2025","Accept interview invitation","Interview","",""
"","620","accept assessment invite","Getlinked-Candidates","Sun Jan 19 12:15:55 GMT 2025","passed","Sun Jan 19 12:15:56 GMT 2025","Take Assessment > AcceptAssessmentInvitation","Assessment","",""
"","111","ninVerification","Getlinked-Candidates","Sun Jan 19 12:15:57 GMT 2025","passed","Sun Jan 19 12:15:57 GMT 2025","Take Assessment > ninVerification","Assessment","",""
"","94","accept interview invitatio-Invalid IV_Token","Getlinked-Candidates","Sun Jan 19 12:15:58 GMT 2025","passed","Sun Jan 19 12:15:58 GMT 2025","Accept interview invitation","Interview","",""
"","113","ninVerification","Getlinked-Candidates","Sun Jan 19 12:15:59 GMT 2025","passed","Sun Jan 19 12:15:59 GMT 2025","ninVerification","Interview","",""
"","122","submit interview-No Auth","Getlinked-Candidates","Sun Jan 19 12:16:00 GMT 2025","passed","Sun Jan 19 12:16:00 GMT 2025","Submit interview","Interview","",""
"","106","accept interview invitation-No Auth","Getlinked-Candidates","Sun Jan 19 12:15:58 GMT 2025","passed","Sun Jan 19 12:15:58 GMT 2025","Accept interview invitation","Interview","",""
"","143","update proctoring report","Getlinked-Candidates","Sun Jan 19 12:16:01 GMT 2025","passed","Sun Jan 19 12:16:01 GMT 2025","update proctoring report","Proctoring","",""
"","125","submit interview-Invalid Interview-Invalid Result ID","Getlinked-Candidates","Sun Jan 19 12:16:00 GMT 2025","passed","Sun Jan 19 12:16:00 GMT 2025","Submit interview","Interview","",""
"","121","mark interview as started","Getlinked-Candidates","Sun Jan 19 12:15:59 GMT 2025","passed","Sun Jan 19 12:15:59 GMT 2025","Mark interview as started","Interview","",""
